"TITLE","DESCRIPTION","ARCHITECT","ADDRESS"
"Алексееву В.П., мемориальная доска"," Алексееву В.П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Вася Алексеев (1896–1919). Воспитанник нашего училища, токарь пушечной мастерской Путиловского завода, член большевистской партии с 1912 года, участник Октябрьской революции и Гражданской войны, один из организаторов Ленинского комсомола»1970. Арх. Васильковский В. С., скульптор Теплов Н. А. Мрамор.Маршала Говорова ул., 18 (в здании Профессионально-технического училища). Персоны Алексеев Василий Петрович Васильковский Владимир Сергеевич Теплов Н. А. Адреса Маршала Говорова ул./Санкт-Петербург, д. 18 ","1970. Арх. Васильковский В. С., скульптор Теплов Н. А. Мрамор.","Теплов Н. А."
"Алексееву М. П., мемориальная доска"," Алексееву М. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1966 по 1981 год жил и работал советский ученый-филолог, академик Михаил Павлович Алексеев»1986. Арх. Акимов Ю. И. Гальванопластика.Лейтенанта Шмидта наб., 1/2 (Ф-75) Персоны Акимов Ю. И. Алексеев Михаил Павлович Адреса Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2 ","1986. Арх. Акимов Ю. И. Гальванопластика.","Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2"
"Алексееву С. В. мемориальная доска"," Алексееву С. В. мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этой школе с 1970 по 1978 гг. учился воин, погибший, выполняя интернациональный долг в Афганистане, Алексеев Сергей Викторович»1989. Арх. Шахов И. А., скульптор Кац Е. М. Гранит, бронза.Московский пр., 203а, в здании школы. Персоны Алексеев Сергей Викторович Кац Евгений Михайлович Шахов Игорь Александрович Адреса Московский пр./Санкт-Петербург, д. 203, лит. А ","1989. Арх. Шахов И. А., скульптор Кац Е. М. Гранит, бронза.","Шахов Игорь Александрович"
"Амосову И. А., мемориальная доска"," Амосову И. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь учился выдающийся корабельный инженер И.А. Амосов (1800–1878). Построил первый в России винтовой корабль-фрегат “Архимед”»До 1978. Мрамор, до 1978 г.Адмиралтейский проезд, 2. Высшее военно-морское инженерное училище им. Ф.Э. Дзержинского (в здании). Персоны Амосов Иван Афанасьевич Адреса Адмиралтейский проезд/Санкт-Петербург, д. 2 ","До 1978. Мрамор, до 1978 г.",NA
"Ананьеву Б. Г., мемориальная доска"," Ананьеву Б. Г., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1949 по 1972 жил видный советский психолог, действительный член Академии педагогических наук СССР Борис Герасимович Ананьев»1974. Арх. Исаева В.В. Мрамор.Дибуновская ул., 31 (Ф) Персоны Ананьев Борис Герасимович Исаева Вера Васильевна Адреса Дибуновская ул./Санкт-Петербург, д. 31 ","1974. Арх. Исаева В.В. Мрамор.","Дибуновская ул./Санкт-Петербург, д. 31"
"Андрееву В. В., мемориальная доска"," Андрееву В. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1912 по 1918 гг. жил и работал основатель оркестра русских народных инструментов Василий Васильевич Андреев»1956. Арх. Егоров М.Ф. Мрамор.Мойки реки наб., 64 (Ф-145) Персоны Андреев Василий Васильевич Егоров Михаил Федорович Адреса Мойки р. наб./Санкт-Петербург, д. 64 ","1956. Арх. Егоров М.Ф. Мрамор.","Мойки р. наб./Санкт-Петербург, д. 64"
"Андрееву В. В., мемориальная доска"," Андрееву В. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «20 марта 1888 года в этом здании состоялось первое выступление русского народного оркестра (“Кружка любителей игры на балалайках”) под управлением его создателя В.В. Андреева»1988. Арх. Исаева В.В. Гранит. Островского пл., 7. (Ф-146) Персоны Андреев Василий Васильевич Исаева Вера Васильевна Адреса Островского пл./Санкт-Петербург, д. 7 ","1988. Арх. Исаева В.В. Гранит. ","Островского пл./Санкт-Петербург, д. 7"
"Андрееву П. З., мемориальная доска"," Андрееву П. З., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1917 г. по 1950 г. жил выдающийся певец и педагог, народный артист СССР Павел Захарович Андреев»1967. Арх. Болотский Н.С., скульптор Дыдыкин Н.В. Гранит, бронза.Писарева ул., 18 (Ф-147) Персоны Андреев Павел Захарович Болотский Н. С. Дыдыкин Николай Васильевич Адреса Писарева ул./Санкт-Петербург, д. 18 ","1967. Арх. Болотский Н.С., скульптор Дыдыкин Н.В. Гранит, бронза.","Дыдыкин Николай Васильевич"
"Андрееву С. Е., мемориальная доска"," Андрееву С. Е., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1920 по 1930 год работал один из создателей института “Механобр” профессор Сергей Ефимович Андреев»1995. Худ. Богуш А.Г. Гранит.В.О., 21-я линия, 8а. НИИ «Механобр» Персоны Андреев Сергей Ефимович Богуш А. Г. Адреса 21-я линия В.О./Санкт-Петербург, д. 8, лит. А ","1995. Худ. Богуш А.Г. Гранит.","21-я линия В.О./Санкт-Петербург, д. 8, лит. А"
"Аничкову Н. Н., мемориальная доска"," Аничкову Н. Н., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1920 по 1964 год работал крупнейший патолог страны академик Николай Николаевич Аничков»1968. Скульптор Васильев Е.А. Гранит.Академика Павлова ул., 9а. НИИ экспериментальной медицины. Персоны Аничков Николай Николаевич Васильев Е. А. Адреса Академика Павлова ул./Санкт-Петербург, д. 9, лит. А Предметный указатель Экспериментальной медицины институт ","1968. Скульптор Васильев Е.А. Гранит.","Академика Павлова ул./Санкт-Петербург, д. 9, лит. А"
"Аничкову Н. Н.. мемориальная доска"," Аничкову Н. Н.. мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом здании работал с 1909 по 1946 год академик Аничков Николай Николаевич — выдающийся советский патолог»1969. Мрамор.Академика Лебедева ул., 37а. Военно-медицинская академия. (Ф-76) Персоны Аничков Николай Николаевич Адреса Академика Лебедева ул./Санкт-Петербург, д. 37, лит. А Предметный указатель Военно-медицинская академия ","1969. Мрамор.","Военно-медицинская академия"
"Аничкову С. В., мемориальная доска"," Аничкову С. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь работал Герой Социалистического Труда, лауреат Ленинской и Государственной премий, академик АМН СССР Сергей Викторович Аничков — глава советской фармакологической школы, основатель и бессменный руководитель отдела фармакологии с 1948 по 1981 год»1982. Арх. Исаева В. В. Мрамор.Академика Павлова ул., 12, НИИ экспериментальной медицины. Персоны Аничков Сергей Викторович Исаева Вера Васильевна Адреса Академика Павлова ул./Санкт-Петербург, д. 12 Предметный указатель Экспериментальной медицины институт ","1982. Арх. Исаева В. В. Мрамор.","Академика Павлова ул./Санкт-Петербург, д. 12"
"Антонову Н. Д., мемориальная доска"," Антонову Н. Д., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1962 по 1986 год жил выдающийся военачальник, командир 2-го Гвардейского ленинградского истребительного авиакорпуса ПВО, гвардии генерал-полковник Николай Дмитриевич Антонов»1990. Арх. Милорадович Т. Н. Гранит.Куйбышева ул., 1/5. Персоны Антонов Николай Дмитриевич Милорадович Т. Н. Адреса Куйбышева ул./Санкт-Петербург, д. 1/5 ","1990. Арх. Милорадович Т. Н. Гранит.","Куйбышева ул./Санкт-Петербург, д. 1/5"
"Аринкину М. И., мемориальная доска"," Аринкину М. И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «С 1931 по 1948 г. кафедру возглавлял выдающийся терапевт-гематолог Михаил Иннокентьевич Аринкин»1984. Мрамор. Боткинская ул., 20. Военно-медицинская академия. Персоны Аринкин Михаил Иннокентьевич Адреса Боткинская ул./Санкт-Петербург, д. 20 Предметный указатель Военно-медицинская академия ","1984. Мрамор. ","Военно-медицинская академия"
"Асафьеву  Б. В., мемориальная доска"," Асафьеву Б. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1933 по 1943 г. жил и работал Народный артист Союза ССР, академик Борис Владимирович Асафьев»1949 – первоначально установлена.1997 - возобновлена. Мрамор.Труда пл., 6. Персоны Асафьев Борис Владимирович Адреса Труда пл./Санкт-Петербург, д. 6 ","1949 – первоначально установлена.",NA
"Афанасьеву В. И., мемориальная доска"," Афанасьеву В. И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь учился и работал выдающийся инженер-механик В.И. Афанасьев (1843–1913). Установил основные законы движения судов»До 1977. Мрамор.Адмиралтейский проезд, 2. Высшее военно-морское инженерное училище им. Ф.Э. Дзержинского (в здании). Персоны Афанасьев Василий Иванович Адреса Адмиралтейский проезд/Санкт-Петербург, д. 2 ","До 1977. Мрамор.",NA
"Ахматовой А. А., мемориальная доска"," Ахматовой А. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, в здании бывшей Мариинской гимназии, с 1900 по 1905 гг. училась Анна Андреевна Ахматова»1989. Арх. Гепнер Ф.А., скульптор Нейман Я.Я. Бронза. г. Пушкин, Леонтьевская ул., 17, Детская музыкальная школа (Ф-148) Персоны Ахматова Анна Андреевна Гепнер Филипп Аронович Нейман Ян Янович Адреса Леонтьевская ул./Пушкин г., д. 17 ","1989. Арх. Гепнер Ф.А., скульптор Нейман Я.Я. Бронза. ","Нейман Ян Янович"
"Ахматовой А.А., мемориальная доска"," Ахматовой А.А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Музей Анны Ахматовой. “Фонтанный дом”»1989. Арх. Петров В.А., скульптор Игнатьев А. М. Гранит, бронза.2003 – доска, первоначально находившаяся на стене флигеля со стороны Фонтанки, перенесена в сад Фонтанного дома и установлена на стене музея.Фонтанки реки наб., 34. (Ф-149) Персоны Ахматова Анна Андреевна Игнатьев Александр Михайлович Петров В. А. Адреса Фонтанки р. наб./Санкт-Петербург, д. 34 ","1989. Арх. Петров В.А., скульптор Игнатьев А. М. Гранит, бронза.","Петров В. А."
"Аше Б. М., мемориальная доска"," Аше Б. М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Лаборатория отопления и вентиляции основана в 1934 г. профессором Борисом Михайловичем Аше»1974-1975. Мрамор.Красноармейская 2-я ул., 4. Архитектурно-строительный университет (в здании). Персоны Аше Борис Михайлович Адреса 2-я Красноармейская ул./Санкт-Петербург, д. 4 Предметный указатель Архитектурно-строительный Санкт-Петербургский государственный университет ","1974-1975. Мрамор.","Архитектурно-строительный Санкт-Петербургский государственный университет"
