"","X","ID","Person","Name","Description","Year","Address","pl_latitude","pl_longitude","Material","Is_sculptor","what_did","BirthDate","DeathDate","Gender","Wiki","Pl_Period","Pl_y"
"11",11,2805531068,"Алексееву М.П.","Алексеев, Михаил Павлович","Здесь с 1966 по 1981 год жил и работал советский ученый-филолог, академик Михаил Павлович Алексеев","1986"," Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2 ",59.936509,30.285463,NA,FALSE,"жил и работал",1896-06-05,1981-09-19,"мужской пол","Q4061691","6. Perestroika",1986
"12",12,2805530337,"Алексееву С.В.","Алексеев, Сергей Венедиктович","В этой школе с 1970 по 1978 гг. учился воин, погибший, выполняя интернациональный долг в Афганистане, Алексеев Сергей Викторович","1989"," Московский пр./Санкт-Петербург, д. 203, лит. А ",59.84735,30.318189,"гранит",TRUE,"учился",1879-01-01,1957-01-01,"мужской пол","Q4061720","6. Perestroika",1989
"13",13,2805531090,"Амосову И.А.","Амосов, Иван Афанасьевич","Здесь учился выдающийся корабельный инженер И.А. Амосов (1800–1878). Построил первый в России винтовой корабль-фрегат “Архимед”","До 1978"," Адмиралтейский проезд/Санкт-Петербург, д. 2 ",59.938215,30.3092039,"мрамор",FALSE,"учился",1800-11-12,1878-06-01,"мужской пол","Q4064488","5. Zastoi",1978
"14",14,2805531099,"Ананьеву Б.Г.","Ананьев, Борис Герасимович","В этом доме с 1949 по 1972 жил видный советский психолог, действительный член Академии педагогических наук СССР Борис Герасимович Ананьев","1974"," Дибуновская ул./Санкт-Петербург, д. 31 ",59.985471,30.27235,"мрамор",FALSE,"жил",1907-08-14,1972-05-18,"мужской пол","Q4064804","5. Zastoi",1974
"15",15,2805549351,"Андрееву В.В.","Василий Васильевич Андреев","Здесь с 1912 по 1918 гг. жил и работал основатель оркестра русских народных инструментов Василий Васильевич Андреев","1956"," Мойки р. наб./Санкт-Петербург, д. 64 ",59.9318542,30.3115539,"мрамор",FALSE,"жил и работал",1861-01-15,1918-12-26,"мужской пол","Q982300","4. Ottepel",1956
"16",16,2805549371,"Андрееву В.В.","Василий Васильевич Андреев","20 марта 1888 года в этом здании состоялось первое выступление русского народного оркестра (“Кружка любителей игры на балалайках”) под управлением его создателя В.В. Андреева","1988"," Островского пл./Санкт-Петербург, д. 7 ",59.931815,30.334865,"гранит",FALSE,"выступал",1861-01-15,1918-12-26,"мужской пол","Q982300","6. Perestroika",1988
"17",17,2805549398,"Андрееву П.З.","Андреев, Павел Захарович","В этом доме с 1917 г. по 1950 г. жил выдающийся певец и педагог, народный артист СССР Павел Захарович Андреев","1967"," Писарева ул./Санкт-Петербург, д. 18 ",59.925685,30.2861119,"гранит",TRUE,"жил",1874-03-09,1950-09-15,"мужской пол","Q4065517","5. Zastoi",1967
"18",18,2805531115,"Андрееву С.Е.",NA,"Здесь с 1920 по 1930 год работал один из создателей института “Механобр” профессор Сергей Ефимович Андреев","1995","21-я линия В.О./Санкт-Петербург, д. 8, лит. А",59.934857,30.2640671,"гранит",FALSE,"работал",NA,NA,NA,NA,"7. Federation",1995
"19",19,2805531154,"Аничкову Н.Н.","Николай Николаевич Аничков","Здесь с 1920 по 1964 год работал крупнейший патолог страны академик Николай Николаевич Аничков","1968"," Академика Павлова ул./Санкт-Петербург, д. 9, лит. А ",59.978195,30.3121351,"гранит",TRUE,"работал",1885-11-03,1964-12-07,"мужской пол","Q655048","5. Zastoi",1968
"20",20,2805531128,"Аничкову Н.Н.","Николай Николаевич Аничков","В этом здании работал с 1909 по 1946 год академик Аничков Николай Николаевич — выдающийся советский патолог","1969"," Академика Лебедева ул./Санкт-Петербург, д. 37, лит. А ",59.9573447,30.3507002,"мрамор",FALSE,"работал",1885-11-03,1964-12-07,"мужской пол","Q655048","5. Zastoi",1969
"21",21,2805531166,"Аничкову С.В.","Аничков, Сергей Викторович","Здесь работал Герой Социалистического Труда, лауреат Ленинской и Государственной премий, академик АМН СССР Сергей Викторович Аничков — глава советской фармакологической школы, основатель и бессменный руководитель отдела фармакологии с 1948 по 1981 год","1982"," Академика Павлова ул./Санкт-Петербург, д. 12 ",59.977178,30.310573,"мрамор",FALSE,"основал",1892-09-20,1981-07-10,"мужской пол","Q4066431","5. Zastoi",1982
"22",22,2805530352,"Антонову Н.Д.",NA,"В этом доме с 1962 по 1986 год жил выдающийся военачальник, командир 2-го Гвардейского ленинградского истребительного авиакорпуса ПВО, гвардии генерал-полковник Николай Дмитриевич Антонов","1990"," Куйбышева ул./Санкт-Петербург, д. 1/5 ",59.954432,30.326757,"гранит",FALSE,"жил",NA,NA,NA,NA,"6. Perestroika",1990
"23",23,2805531177,"Аринкину М.И.","Михаил Иннокентьевич Аринкин","С 1931 по 1948 г. кафедру возглавлял выдающийся терапевт-гематолог Михаил Иннокентьевич Аринкин","1984"," Боткинская ул./Санкт-Петербург, д. 20 ",59.9584656,30.346604,"мрамор",FALSE,"руководил",1876-04-19,1948-08-30,"мужской пол","Q11778425","5. Zastoi",1984
"24",24,2805549446,"Асафьеву  Б.В.",NA,"В этом доме с 1933 по 1943 г. жил и работал Народный артист Союза ССР, академик Борис Владимирович Асафьев","1949"," Труда пл./Санкт-Петербург, д. 6 ",59.931364,30.293735,"мрамор",FALSE,"жил и работал",NA,NA,NA,NA,"3. Stalin time",1949
"25",25,2805531187,"Афанасьеву В.И.","Василий Иванович Афанасьев","Здесь учился и работал выдающийся инженер-механик В.И. Афанасьев (1843–1913). Установил основные законы движения судов","До 1977"," Адмиралтейский проезд/Санкт-Петербург, д. 2 ",59.938215,30.3092039,"мрамор",FALSE,"учился",1844-01-03,1913-10-19,"мужской пол","Q4072608","5. Zastoi",1977
"26",26,2805549459,"Ахматовой А.А.","Анна Андреевна Ахматова","Здесь, в здании бывшей Мариинской гимназии, с 1900 по 1905 гг. училась Анна Андреевна Ахматова","1989"," Леонтьевская ул./Пушкин г., д. 17 ",59.7196863,30.4039037,"бронза",TRUE,"учился",1889-06-23,1966-03-05,"женский пол","Q80440","6. Perestroika",1989
"27",27,2805549484,"Ахматовой А.А.","Анна Андреевна Ахматова","Музей Анны Ахматовой. “Фонтанный дом”","1989"," Фонтанки р. наб./Санкт-Петербург, д. 34 ",59.937344,30.3442622,"гранит",TRUE,NA,1889-06-23,1966-03-05,"женский пол","Q80440","6. Perestroika",1989
"28",28,2805531199,"Аше Б.М.",NA,"Лаборатория отопления и вентиляции основана в 1934 г. профессором Борисом Михайловичем Аше","1975"," 2-я Красноармейская ул./Санкт-Петербург, д. 4 ",59.915199,30.315244,"мрамор",FALSE,"основал",NA,NA,NA,NA,"5. Zastoi",1975
"29",29,2805526285,"Бабушкину И.В.",NA,"Здесь с 1887 по 1891 г. работал Иван Васильевич Бабушкин, один из первых рабочих-большевиков. Убит царскими палачами в 1906 г.","1970"," Макаровская ул./Кронштадт г., д. 2 ",59.9860362,29.7767517,"мрамор",TRUE,"работал",NA,NA,NA,NA,"5. Zastoi",1970
"30",30,2805531209,"Бабчину И.С.",NA,"В этом институте с 1938 по 1969 гг. работал выдающийся отечественный нейрохирург, профессор Бабчин Исаак Савельевич","1997"," Маяковского ул./Санкт-Петербург, д. 12 ",59.9340364,30.3540022,"гранит",TRUE,"работал",NA,NA,NA,NA,"7. Federation",1997
"31",31,2805531223,"Багалу Л.И.",NA,"Здесь в 1930–1969 гг. работал крупнейший специалист, профессор Л.И. Багал","1978"," Московский пр./Санкт-Петербург, д. 26/49 ",59.9183802,30.3182825,"мрамор",FALSE,"работал",NA,NA,NA,NA,"5. Zastoi",1978
"32",32,2805531233,"Байкову А.А.",NA,"Выдающийся русский ученый, металлург, химик, академик Александр Александрович Байков жил и работал в этом доме с 1930 г. по 1942 г.","1948"," Литейный пр./Санкт-Петербург, д. 10 ",59.9460157,30.3490454,"бронза",FALSE,"жил и работал",NA,NA,NA,NA,"3. Stalin time",1948
"33",33,2805531243,"Байкову А.А.",NA,"В этом здании в 1904–1946 годах работал академик Александр Александрович Байков","1978"," Политехническая ул./Санкт-Петербург, д. 29 ",60.0077249,30.3732928,"бронза",FALSE,"работал",NA,NA,NA,NA,"5. Zastoi",1978
"34",34,2805549514,"Балакиреву М.А.","Милий Алексеевич Балакирев","Здесь жил и скончался русский музыкальный деятель и композитор Милiй Алексеевич Балакирев (21 дек. 1836 — 16 мая 1910). Музыкально-историческое общество имени графа А.Д. Шереметева. Установлена в 1912 г. Возобновлена в 1957 г.","191"," Коломенская ул./Санкт-Петербург, д. 7 ",59.925618,30.353843,"мрамор",FALSE,"название в честь",1837-01-02,1910-05-29,"мужской пол","Q185040","Unknown period",NA
"35",35,2805549536,"Балыбердину В.С.","Балыбердин, Владимир Сергеевич","MOUNT EVEREST.Выдающийся альпинист — первый российский покоритель Эвереста 3–9 мая 1982 г. —Владимир Сергеевич Балыбердин (1949–1994) жил в этом доме с 1991 г.","1996"," Бассейная ул./Санкт-Петербург, д. 47 ",59.864069,30.3260379,"гранит",TRUE,"жил",1948-10-01,1994-07-22,"мужской пол","Q4077014","7. Federation",1996
"36",36,2805526305,"Барышеву Н.В.",NA,"В 1916–1924 гг. на заводе работал профессиональный революционер-ленинец Николай Васильевич Барышев (1880–1940), один из организаторов Красной гвардии Выборгской стороны, руководитель заводской партийной организации в период подготовки и проведения Октябрьского вооруженного восстания","1973"," Красногвардейский пер./Санкт-Петербург, д. 23 ",59.9837572,30.3187733,"мрамор",FALSE,"работал",NA,NA,NA,NA,"5. Zastoi",1973
"37",37,2805531257,"Бауману В.И.","Бауман, Владимир Иванович","Здесь с 1895 по 1923 год жил и работал профессор Владимир Иванович Бауман,выдающийся деятель горной науки, основоположник отечественной маркшейдерской школы и разведочной геофизики","1973"," Лейтенанта Шмидта наб./Санкт-Петербург, д. 45 ",59.929451,30.268748,"мрамор",FALSE,"жил и работал",1867-04-21,1923-03-15,"мужской пол","Q26693641","5. Zastoi",1973
"38",38,2805531271,"Бахерахту А.Г.","Бахерахт, Андрей Гаврилович","Видные военно-морские врачи, работавшие в госпитале:Бахерахт А. Г. 1758–1760 г.,Самойлович Д. С. 1775–1786 г.,Мудров М. Я. 1800–1802 г.,Кравченко В. С. 1908–1922 г.,Аннин В. П. 1910–1924 г.,Засосов Р. А. 1920–1924 г.,Лубо В. К. 1939–1945 г.,Сорокин С. И. 1917–1950 г.",NA," Старо-Петергофский пр./Санкт-Петербург, д. 2 ",59.9150593,30.2789276,NA,FALSE,"работал",1725-12-27,1806-01-01,"мужской пол","Q28114634","Unknown period",NA
"39",39,2805531283,"Бахурину И.М.","Бахурин, Иван Михайлович","Здесь в 1929–1940 годах работал видный ученый в области маркшейдерского дела, член-корреспондент Академии наук СССР, профессор Иван Михайлович Бахурин","1988"," Средний пр./Санкт-Петербург, д. 82 ",59.936272,30.257785,"мрамор",FALSE,"работал",1880-10-25,1940-10-02,"мужской пол","Q41574039","6. Perestroika",1988
"40",40,2805531299,"Бейльштейну Ф.Ф.","Фёдор Фёдорович Бейльштейн","Выдающиеся ученые, работавшие в институте:Бейльштейн Федор Федорович 1838–1906,Вышнеградский Иван Алексеевич 1831–1895,Гесс Герман Иванович 1802–1850,Гринберг Александр Абрамович 1898–1966,Коновалов Дмитрий Петрович 1856–1929,Лебедев Сергей Васильевич 1874–1934,Менделеев Дмитрий Иванович 1834–1907,Петров Николай Павлович 1836–1920,Порай-Кошиц Александр Евгеньевич 1877–1949,Фаворский Алексей Евграфович 1860–1945,Чугаев Лев Александрович 1873–1922,Чернов Дмитрий Константинович 1839–1921,Шульяченко Алексей Романович 1841–1903,Щукин Николай Леонидович 1848–1924,Яковкин Александр Александрович 1860–1936","1978"," Московский пр./Санкт-Петербург, д. 26/49 ",59.9183802,30.3182825,"мрамор",FALSE,"работал",1838-02-17,1906-10-18,"мужской пол","Q61313","5. Zastoi",1978
"41",41,2805531324,"Бекетову Н.Н.","Николай Николаевич Бекетов","В этом доме с 1892 по 1911 г. жил и работал выдающийся русский химик Николай Николаевич Бекетов","1955"," 8-я линия В.О./Санкт-Петербург, д. 17 ",59.9377776,30.2818191,"мрамор",FALSE,"жил и работал",1827-01-13,1911-12-13,"мужской пол","Q910206","4. Ottepel",1955
"42",42,2805530361,"Белавину А.Ф.",NA,"Рядовой Белавин Александр Федорович в ночь на 7 ноября 1941 года, обезвреживая авиабомбу, ценой своей жизни спас здание Почтамта от разрушения. Награжден орденом Ленина","1990"," Почтамтская ул./Санкт-Петербург, д. 9 ",59.9320674,30.3011706,"мрамор",FALSE,NA,NA,NA,NA,NA,"6. Perestroika",1990
"43",43,2805549572,"Белинскому В.Г.","Виссарион Григорьевич Белинский","В этом доме в 1842–1846 гг. жил Виссарион Григорьевич Белинский","1948"," Невский пр./Санкт-Петербург, д. 68/40 ",59.9333465,30.3450199,"мрамор",FALSE,"жил",1811-06-11,1848-06-07,"мужской пол","Q192885","3. Stalin time",1948
"44",44,2805549582,"Белову А.А.","Александр Александрович Белов","В этом доме последние 6 лет жил выдающийся спортсмен-баскетболист Александр Белов (1951–1978). За короткую жизнь он стал чемпионом страны, Европы, мира, Олимпийских игр","1994"," Зверинская ул./Санкт-Петербург, д. 38 ",59.952591,30.302707,"гранит",TRUE,"жил",1951-11-09,1978-10-03,"мужской пол","Q714318","7. Federation",1994
"45",45,2805526318,"Белышеву А.В.","Белышев, Александр Викторович","В этом доме с 1959 года по 1974 год жил Белышев Александр Викторович, член Коммунистической партии с марта 1917 года, председатель судового комитета и комиссар крейсера “Аврора”","1987"," Б. Пороховская ул./Санкт-Петербург, д. 33 ",59.953087,30.420488,"гранит",FALSE,"жил",1893-08-06,1974-08-29,"мужской пол","Q4083192","6. Perestroika",1987
"46",46,2805549606,"Беляеву А.Р.","Александр Романович Беляев","В этом доме с 1938 года по 1942 год жил писатель-фантаст Александр Романович Беляев","1979"," Конюшенная ул./Пушкин г., д. 19 ",59.7184362,30.412432,"мрамор",FALSE,"жил",1884-03-16,1942-01-06,"мужской пол","Q497925","5. Zastoi",1979
"47",47,2805531336,"Бенуа Н.А ","Бенуа, Альберт Николаевич","Музей благодарит дарителей Николая А. Бенуа,Дизму ди Чекко-Бенуа, Реми-Клемона,Бабетту и Пьера Браславских,Паулину и Дмитрия Вышнеградских,Вирджинию и Романо Бенуа,Татьяну А. и Евгения Б. Серебряковых,Татьяну Б. Серебрякову,Александра Серебрякова,Екатерину Серебрякову,Наталью Н. Лансере,Алексея Н. Лансере,Наталью Е. Лансере,Елену и Питера Устиновых,Клементину и Игоря Устиновых,Гали Л. Шретер,Ольгу А. Иванову и Логина Л. Шретера,Василису М. Шретер,Франсуазу и Франсуа Черкесовых,Минга Черепнина,Жессику и Питера Черепниных,Анну и Ивана Черепненых,Жизель и Сергея Черепненых,Вадима И. Данилевского,Анну Е. Михайлову,Розу М. Тимофееву,Иосифа М. Эзраха","1988"," Дворцовая ул./Петергоф г., д. 8 ",59.8830857,29.9140106,"мрамор",FALSE,NA,1852-03-26,1936-05-16,"мужской пол","Q946949","6. Perestroika",1988
"48",48,2805549616,"Бенуа семье ","Нина Александровна Виноградова-Бенуа","В этом доме с 1808 по 1958 год жили представители семей Бенуа, Лансере, Серебряковых, давших миру выдающихся архитекторов, художников, скульпторов и историков искусства","1988"," Глинки ул./Санкт-Петербург, д. 15 ",59.923714,30.298569,"гранит",FALSE,"жил",1936-07-15,1986-05-24,"женский пол","Q60558461","6. Perestroika",1988
"49",49,2805549627,"Берггольц О.Ф.","Ольга Фёдоровна Берггольц","В этом доме с 1932 по 1943 год жила и работала поэт Ольга Федоровна Берггольц","1990"," Рубинштейна ул./Санкт-Петербург, д. 7 ",59.9310363,30.3448796,"бронза",TRUE,"жил",1910-05-16,1975-11-13,"женский пол","Q237518","6. Perestroika",1990
"50",50,2805549654,"Берггольц О.Ф.","Ольга Фёдоровна Берггольц","“...И спаяны сильней, чем кровью рода, родней, чем дети одного отца, сюда зимой 42 года сошлись сопротивляться до конца. ...И даже тем, кто все хотел бы сгладить в зеркальной робкой памяти людей, не дам забыть, как падал ленинградец на желтый снег пустынных площадей.” О. Берггольц","1998"," Итальянская ул./Санкт-Петербург, д. 27 ",59.935396,30.3384601,"гранит",TRUE,NA,1910-05-16,1975-11-13,"женский пол","Q237518","7. Federation",1998
"51",51,2805531347,"Бергу А.И.",NA,"Здесь с 1926 по 1941 год работал выдающийся ученый, академик Аксель Иванович Берг","1993"," Профессора Попова ул./Санкт-Петербург, д. 5 ",59.9713954,30.3222545,"мрамор",FALSE,"работал",NA,NA,NA,NA,"7. Federation",1993
"52",52,2805531359,"Бергу Л.С.","Лев Семёнович Берг","Здесь жил и работал с 1921 по 1950 год президент Географического общества Союза ССР, академик Лев Семенович Берг","1952"," Английский пр./Санкт-Петербург, д. 2 ",59.9279186,30.2818801,"мрамор",FALSE,"жил и работал",1876-03-14,1950-12-24,"мужской пол","Q44704","3. Stalin time",1952
"53",53,2805524767,"Берду Ч.","Берд, Чарльз ","Завод основал Чарльз Берд в 1792 году","1997"," Александра Блока ул./Санкт-Петербург, д. 5 ",59.924577,30.27839,"гранит",TRUE,"основал",1766-12-20,1843-12-10,"мужской пол","Q4084044","7. Federation",1997
"54",54,2805531373,"Бериеву Г.М.",NA,"Здесь в 1925–1930 гг. учился выдающийся авиаконструктор Георгий Михайлович Бериев. 1903–1979","1994"," Политехническая ул./Санкт-Петербург, д. 29 ",60.0077249,30.3732928,"гранит",FALSE,"учился",NA,NA,NA,NA,"7. Federation",1994
"55",55,2805531384,"Берингу В.Й.",NA,"Беринг Витус Йонассен (1681–1741), выходец из Дании, капитан-командор русского флота, выдающийся мореплаватель, руководил 1-й и 2-й Камчатскими экспедициями, во время которых прошел проливом между Азией и Америкой, открыл Северо-Западное побережье Америки и ряд островов Алеутской гряды. Его имя увековечено в названии моря, пролива и острова","1991"," Беринга ул./Санкт-Петербург, д. 6 ",59.936008,30.2461591,"металл",FALSE,"название в честь",NA,NA,NA,NA,"6. Perestroika",1991
"56",56,2805531405,"Бехтереву В.М.","Владимир Михайлович Бехтерев","В этом доме с 1914 г. по 1927 г. жил крупнейший русский ученый и врач, академик Владимир Михайлович Бехтерев","1951"," М. Невки р. наб./Санкт-Петербург, д. 25 ",59.97717,30.293805,"мрамор",FALSE,"жил",1857-02-01,1927-12-24,"мужской пол","Q221723","3. Stalin time",1951
"57",57,2805531417,"Бехтереву В.М.","Владимир Михайлович Бехтерев","Этой психиатрической клиникой руководил с 1893 г. по 1913 г. академик В.М. Бехтерев","1958"," Боткинская ул./Санкт-Петербург, д. 17 ",59.960248,30.3513,"мрамор",FALSE,"руководил",1857-02-01,1927-12-24,"мужской пол","Q221723","4. Ottepel",1958
"58",58,2805531428,"Бехтереву В.М.","Владимир Михайлович Бехтерев","Основатель психоневрологического института, академик В.М. Бехтерев работал здесь с 1908 г. по 1927 г.","1958"," Бехтерева ул./Санкт-Петербург, д. 3 ",59.9032134,30.404069,"мрамор",FALSE,"основал",1857-02-01,1927-12-24,"мужской пол","Q221723","4. Ottepel",1958
"59",59,2805549688,"Бианки В.В.","Виталий Валентинович Бианки","В этом доме жил писатель Виталий Бианки","1994"," 3-я линия В.О./Санкт-Петербург, д. 58 ",59.948169,30.279099,"гранит",FALSE,"жил",1894-02-11,1959-06-10,"мужской пол","Q981171","7. Federation",1994
"60",60,2805531440,"Билибину Ю.А.","Юрий Александрович Билибин","В этом доме с 1925 по 1949 год жил выдающийся советский геолог, лауреат Государственной премии, член-корреспондент Академии наук СССР Юрий Александрович Билибин","1984"," Большой пр. В. О./Санкт-Петербург, д. 56 ",59.9338994,30.2662429,"гранит",FALSE,"жил",1901-05-19,1952-05-04,"мужской пол","Q724267","5. Zastoi",1984
"61",61,2805531468,"Бирюкову Д.А.",NA,"Здесь работал академик АМН СССР Дмитрий Андреевич Бирюков,выдающийся исследователь в области эволюционной и экологической физиологии, основатель отдела сравнительной физиологии и патологии нервной деятельности, бессменно руководивший Институтом экспериментальной медицины с 1950 по 1969 гг.","1970"," Академика Павлова ул./Санкт-Петербург, д. 12 ",59.977178,30.310573,"мрамор",FALSE,"основал",NA,NA,NA,NA,"5. Zastoi",1970
"62",62,2805524780,"Бисмарку Отто фон",NA,"Здесь в 1859–1862 гг. жил и работал Отто фон Бисмарк, прусский посланник, будущий канцлер Германии","1998"," Английская наб./Санкт-Петербург, д. 50 ",59.932514,30.288259,"мрамор",TRUE,"жил и работал",NA,NA,NA,NA,"7. Federation",1998
"63",63,2805526339,"Благоеву Д.Н.",NA,"Димитър Благоев. 1856–1924. Основатель первой марксистской организации в Петербурге — 1883 год и Болгарской коммунистической партии — 1891 год","1965"," Благоева ул./Санкт-Петербург, д. 2 ",59.9551474,30.3028605,"гранит",TRUE,"основал",NA,NA,NA,NA,"5. Zastoi",1965
"64",64,2805526361,"Благоеву Д.Н.",NA,"В этом доме в начале 1885 года жил Димитр Благоев, организатор одной из первых групп русских социал-демократов, впоследствии основатель Болгарской коммунистической партии","1965"," Введенская ул./Санкт-Петербург, д. 12 ",59.9559975,30.3046433,"гранит",FALSE,"основал",NA,NA,NA,NA,"5. Zastoi",1965
"65",65,2805549699,"Блоку А.А.","Александр Александрович Блок","В этом доме жил с 6 августа 1912 г. и умер 7 августа 1921 г. Александр Блок","1946"," Декабристов ул./Санкт-Петербург, д. 57 ",59.9237516,30.2829652,"мрамор",FALSE,"умер",1880-11-28,1921-08-07,"мужской пол","Q164765","3. Stalin time",1946
"66",66,2805549722,"Блоку А.А.","Александр Александрович Блок","В этом доме 16 (28) ноября 1880 года родился Александр Блок","1974"," Университетская наб./Санкт-Петербург, д. 7 ",59.9402761,30.3010694,"мрамор",FALSE,"родился",1880-11-28,1921-08-07,"мужской пол","Q164765","5. Zastoi",1974
"67",67,2805549765,"Блоку А.А.","Александр Александрович Блок","В этом доме с 1889 года по 1906 год жил поэт Александр Блок","1980"," Петроградская наб./Санкт-Петербург, д. 44 ",59.965867,30.3327659,"гранит",FALSE,"жил",1880-11-28,1921-08-07,"мужской пол","Q164765","5. Zastoi",1980
"68",68,2805526374,"Блохину К.Н.",NA,"Трамвайный парк имени Константина Никитича Блохина. Уроженец Рязанской губ. Поступил на Г.Ж.Д. 17/5 1914 г. вагоновожатым. Член Р.К.П.(б) с 1914 г. Все время вел революционную работу. 4-го января 1917 года арестован во время заседания революционного кружка за Нарвской заставой. В Февральскую революцию освобожден из Крестов. Выбран от парка в Совет рабочих и солдатских депутатов. Член коллегиального совета и секретарь его. В мае 1919 г. мобилизован и распоряжением Р.В.С.Р. направлен в Одессу. В августе 1919 г. во время наступления Деникина на Одессу окруженные бандами белогвардейцев части Красной армии, а с ними и т. Блохин, гибнут с оружием в руках, взятые в плен, зверски потоплены в Черном море. Судьба т. Блохина неизвестна","1929–1930"," Б. Посадская ул./Санкт-Петербург, д. 24 ",59.9604504,30.329732,"мрамор",FALSE,"название в честь",NA,NA,NA,NA,"3. Stalin time",1930
"69",69,2805531482,"Блюмбергу И.Б.",NA,"На кафедре фотографии работал доктор технических наук, профессор Илья Борисович Блюмберг. 1908–1976","1989"," Бухарестская ул./Санкт-Петербург, д. 22 ",59.887265,30.364941,"мрамор",FALSE,"работал",NA,NA,NA,NA,"6. Perestroika",1989
