"","human","humanLabel","genderLabel","birthdate","deathdate"
"152","Q976006","Каховский, Пётр Григорьевич","мужской пол","1799-01-01T00:00:00Z","1826-08-06T00:00:00Z"
"153","Q975942","Розин, Сергей Владимирович","мужской пол","1977-06-13T00:00:00Z",""
"154","Q975683","Новиков, Николай Васильевич","мужской пол","1903-01-01T00:00:00Z","1989-01-01T00:00:00Z"
"155","Q975249","Фесиков, Сергей Васильевич","мужской пол","1989-01-21T00:00:00Z",""
"156","Q973622","Берже, Адольф Петрович","мужской пол","1828-08-09T00:00:00Z","1886-02-12T00:00:00Z"
"157","Q973620","Вера Владимировна Алтайская","женский пол","1919-05-21T00:00:00Z","1978-12-28T00:00:00Z"
"158","Q973400","Александр Николаевич Башлачёв","мужской пол","1960-05-27T00:00:00Z","1988-02-17T00:00:00Z"
"159","Q972912","Рахья, Эйно Абрамович","мужской пол","1885-06-20T00:00:00Z","1936-04-26T00:00:00Z"
"160","Q972823","Ноаковский, Станислав Владиславович","мужской пол","1867-03-21T00:00:00Z","1928-10-01T00:00:00Z"
"161","Q97190","Логин Юрьевич Крафт","мужской пол","1743-09-05T00:00:00Z","1814-12-02T00:00:00Z"
"162","Q97164","Леопольд Энгель","мужской пол","1858-04-19T00:00:00Z","1931-11-08T00:00:00Z"
"163","Q971173","Масленникова, Маргарита Николаевна","женский пол","1928-11-02T00:00:00Z",""
"164","Q97067","Йенс Шпаршу","мужской пол","1955-05-14T00:00:00Z",""
"165","Q969905","Николай Александрович Соколов","мужской пол","1859-03-26T00:00:00Z","1922-03-27T00:00:00Z"
"166","Q969541","Александр Гарсеванович Чавчавадзе","мужской пол","1786-01-01T00:00:00Z","1846-11-06T00:00:00Z"
"167","Q969261","Карл Йохан Энкель","мужской пол","1876-06-07T00:00:00Z","1959-03-26T00:00:00Z"
"168","Q968971","Василий Яковлевич Чичагов","мужской пол","1726-03-22T00:00:00Z","1809-04-28T00:00:00Z"
"169","Q968274","Иван Иванович Козлов","мужской пол","1779-04-22T00:00:00Z","1840-02-11T00:00:00Z"
"170","Q967757","Иван Степанович Юмашев","мужской пол","1895-10-09T00:00:00Z","1972-09-02T00:00:00Z"
"171","Q966993","Григорий Иванович Бутаков","мужской пол","1820-10-09T00:00:00Z","1882-05-31T00:00:00Z"
"172","Q966969","Илья Яковлевич Гинцбург","мужской пол","1859-06-08T00:00:00Z","1939-01-31T00:00:00Z"
"173","Q964923","Сакаев, Константин Руфович","мужской пол","1974-04-13T00:00:00Z",""
"174","Q96477","Иериг, Иоганн","мужской пол","1747-03-17T00:00:00Z","1795-06-15T00:00:00Z"
"175","Q964136","Рышкевич, Юзеф","мужской пол","1856-11-19T00:00:00Z","1925-05-19T00:00:00Z"
"176","Q963919","Померанцев, Александр Никанорович","мужской пол","1849-12-30T00:00:00Z","1918-01-01T00:00:00Z"
"177","Q963795","Кузнецова, Евгения Петровна","женский пол","1980-12-18T00:00:00Z",""
"178","Q963653","Щербачёв, Владимир Владимирович","мужской пол","1889-01-24T00:00:00Z","1952-03-05T00:00:00Z"
"179","Q96347","Кемц, Людвиг Мартынович","мужской пол","1801-01-11T00:00:00Z","1867-12-08T00:00:00Z"
"180","Q962523","Бестужев-Рюмин, Михаил Павлович","мужской пол","1801-06-04T00:00:00Z","1826-07-25T00:00:00Z"
"181","Q962364","Нобель, Эммануил Людвигович","мужской пол","1859-06-22T00:00:00Z","1932-05-31T00:00:00Z"
"182","Q962253","Вениг, Богдан Богданович","мужской пол","1837-07-30T00:00:00Z","1872-01-01T00:00:00Z"
"183","Q961833","Фёдор Александрович Романов","мужской пол","1898-12-23T00:00:00Z","1968-11-30T00:00:00Z"
"184","Q961292","Образцова, Евгения Викторовна","женский пол","1984-01-14T00:00:00Z",""
"185","Q960521","Стучка, Пётр Иванович","мужской пол","1865-07-26T00:00:00Z","1932-01-25T00:00:00Z"
"186","Q960416","Трибуц, Владимир Филиппович","мужской пол","1900-07-28T00:00:00Z","1977-08-30T00:00:00Z"
"187","Q959719","Кузьмин, Родион Осиевич","мужской пол","1891-12-03T00:00:00Z","1949-03-24T00:00:00Z"
"188","Q95964","Наук, Август Карлович","мужской пол","1822-09-18T00:00:00Z","1892-08-03T00:00:00Z"
"189","Q958766","Константин Константинович Вагинов","мужской пол","1899-10-03T00:00:00Z","1934-04-26T00:00:00Z"
"190","Q958064","Полонский, Владимир Иванович","мужской пол","1893-06-17T00:00:00Z","1937-10-30T00:00:00Z"
"191","Q957733","Алексей Фёдорович Орлов","мужской пол","1786-10-30T00:00:00Z","1862-06-02T00:00:00Z"
"192","Q957601","Путятин, Евфимий Васильевич","мужской пол","1803-12-02T00:00:00Z","1883-11-09T00:00:00Z"
"193","Q956991","Перовский, Лев Николаевич","мужской пол","1816-01-01T00:00:00Z","1890-02-13T00:00:00Z"
"194","Q95698","Мориц Карл Линар","мужской пол","1702-02-14T00:00:00Z","1768-04-24T00:00:00Z"
"195","Q956655","Александр Зайцев","мужской пол","1952-06-16T00:00:00Z",""
"196","Q956467","Чарлз Камерон","мужской пол","1745-06-01T00:00:00Z","1812-03-19T00:00:00Z"
"197","Q955831","Ермолинский, Алексей Владиславович","мужской пол","1958-04-11T00:00:00Z",""
"198","Q952777","Александр Иванович Одоевский","мужской пол","1802-12-08T00:00:00Z","1839-08-27T00:00:00Z"
"199","Q952599","Фелия Васильевна Литвин","женский пол","1860-10-11T00:00:00Z","1936-10-12T00:00:00Z"
"200","Q952189","Николай Егорович Сверчков","мужской пол","1817-02-02T00:00:00Z","1898-07-25T00:00:00Z"
"201","Q952022","Николай Алексеевич Вознесенский","мужской пол","1903-12-01T00:00:00Z","1950-10-01T00:00:00Z"
"202","Q951984","Торгованов, Дмитрий Николаевич","мужской пол","1972-01-05T00:00:00Z",""
"203","Q951957","Яков Френкель","мужской пол","1894-02-10T00:00:00Z","1952-01-23T00:00:00Z"
"204","Q951539","Евгений Сергеевич Боткин","мужской пол","1865-06-08T00:00:00Z","1918-07-17T00:00:00Z"
"205","Q950266","Сафронов, Кирилл Алексеевич","мужской пол","1981-02-26T00:00:00Z",""
"206","Q950150","Софроницкий, Владимир Владимирович","мужской пол","1901-05-08T00:00:00Z","1961-08-29T00:00:00Z"
"207","Q948783","Дмитрий Владимирович Бородин","мужской пол","1977-10-08T00:00:00Z",""
"208","Q948740","Юдасин, Леонид Григорьевич","мужской пол","1959-08-08T00:00:00Z",""
"209","Q948370","Иван Петрович Аргунов","мужской пол","1729-01-01T00:00:00Z","1802-01-01T00:00:00Z"
"210","Q948324","Пётр Михайлович Волконский","мужской пол","1776-05-06T00:00:00Z","1852-09-08T00:00:00Z"
"211","Q94772","Михаил Алексеевич Домонтович","мужской пол","1830-11-24T00:00:00Z","1902-10-08T00:00:00Z"
"212","Q946949","Бенуа, Альберт Николаевич","мужской пол","1852-03-26T00:00:00Z","1936-05-16T00:00:00Z"
"213","Q946406","Зара","женский пол","1983-07-26T00:00:00Z",""
"214","Q94572","Ефим Захарович Копелян","мужской пол","1912-04-12T00:00:00Z","1975-03-06T00:00:00Z"
"215","Q945505","Головин, Александр Яковлевич","мужской пол","1863-03-01T00:00:00Z","1930-04-17T00:00:00Z"
"216","Q943791","Михаил Владимирович Волькенштейн","мужской пол","1912-10-23T00:00:00Z","1992-02-16T00:00:00Z"
"217","Q94289","Кудрявцев, Николай Александрович","мужской пол","1893-10-21T00:00:00Z","1971-12-12T00:00:00Z"
"218","Q940665","Чуров, Владимир Евгеньевич","мужской пол","1953-03-17T00:00:00Z",""
"219","Q9382800","Радзиванович, Владимир Александрович","мужской пол","1903-01-01T00:00:00Z","1957-10-12T00:00:00Z"
"220","Q9382470","Владислав Владиславович Жуковский","мужской пол","1868-11-03T00:00:00Z","1916-01-01T00:00:00Z"
"221","Q9382253","Ротерт, Владислав Адольфович","мужской пол","1863-08-06T00:00:00Z","1916-01-16T00:00:00Z"
"222","Q938110","Калугин, Олег Данилович","мужской пол","1934-09-06T00:00:00Z",""
"223","Q937911","Александр Осипович Орловский","мужской пол","1777-03-09T00:00:00Z","1832-03-13T00:00:00Z"
"224","Q9374028","Гуреев, Виктор Григорьевич","мужской пол","1937-08-20T00:00:00Z","1993-01-01T00:00:00Z"
"225","Q9370452","Валериан Стройновский","мужской пол","1753-01-01T00:00:00Z","1834-11-12T00:00:00Z"
"226","Q9369896","Жилиньский, Вацлав","мужской пол","1803-03-01T00:00:00Z","1863-05-05T00:00:00Z"
"227","Q936727","Салтыков, Николай Иванович","мужской пол","1736-11-11T00:00:00Z","1816-05-28T00:00:00Z"
"228","Q936152","Григорович, Иван Константинович","мужской пол","1853-02-07T00:00:00Z","1930-03-03T00:00:00Z"
"229","Q935498","Лепёхин, Иван Иванович","мужской пол","1740-09-21T00:00:00Z","1802-04-18T00:00:00Z"
"230","Q9354289","Грабянка, Тадеуш","мужской пол","1740-01-08T00:00:00Z","1807-10-06T00:00:00Z"
"231","Q934916","Матвей Петрович Гагарин","мужской пол","1659-01-01T00:00:00Z","1721-03-27T00:00:00Z"
"232","Q9345527","Стефания Бернардовна Пржедецкая","женский пол","1879-01-22T00:00:00Z","1938-01-21T00:00:00Z"
"233","Q934369","Цезарь Пуни","мужской пол","1802-05-31T00:00:00Z","1870-02-07T00:00:00Z"
"234","Q9342098","Станислав Романович Ростворовский","мужской пол","1858-01-28T00:00:00Z","1888-09-08T00:00:00Z"
"235","Q9339153","Тихонова, Софья Дмитриевна","женский пол","1998-11-16T00:00:00Z",""
"236","Q9336641","Сергей Николаевич Давиденков","мужской пол","1880-09-06T00:00:00Z","1961-07-02T00:00:00Z"
"237","Q9336559","Зубков, Семён Васильевич","мужской пол","1903-12-01T00:00:00Z","1991-03-04T00:00:00Z"
"238","Q932448","Каменский, Михаил Федотович","мужской пол","1738-05-19T00:00:00Z","1809-08-24T00:00:00Z"
"239","Q93227","Николай Андреевич Римский-Корсаков","мужской пол","1844-03-18T00:00:00Z","1908-06-20T00:00:00Z"
"240","Q931124","Дмитриев, Фёдор Александрович","мужской пол","1984-11-19T00:00:00Z",""
"241","Q931059","Краснов, Платон Николаевич","мужской пол","1866-04-17T00:00:00Z","1924-04-25T00:00:00Z"
"242","Q930536","Георгий Александрович Багратион-Мухранский","мужской пол","1884-07-16T00:00:00Z","1957-09-29T00:00:00Z"
"243","Q928954","Винченцо Манфредини","мужской пол","1737-10-22T00:00:00Z","1799-08-16T00:00:00Z"
"244","Q9287313","Де-Вос-Соболева, Елена Викторовна","женский пол","1875-07-19T00:00:00Z","1945-07-12T00:00:00Z"
"245","Q9274696","Ирина Кирилловна Ласкари","женский пол","1948-05-22T00:00:00Z",""
